group,day,night
"passive",740,923
"passive",779,922
"active",1045,1355
"active",714,849
"passive",772,1006
"passive",810,965
"passive",737,886
"passive",795,867
"active",796,912
"passive",799,978
"active",921,1008
"passive",725,818
"passive",765,882
"active",849,1048
"passive",775,957
"passive",1058,1231
"passive",704,784
"passive",848,969
"passive",953,1002
"passive",799,910
"passive",697,963
"active",810,947
"active",1017,1328
"active",1199,1456
"passive",711,799
"passive",865,1022
"active",932,1114
"passive",686,1011
"passive",762,932
"active",861,1020
"passive",625,730
"active",734,1025
"passive",747,896
"passive",661,710
"active",684,921
"passive",807,1001
"active",826,1237
"passive",649,871
"passive",736,803
"active",930,1206
"passive",785,958
"active",903,1214
"active",741,888
"passive",813,1032
"passive",859,1144
"passive",886,1069
"passive",703,812
"passive",715,900
"passive",629,769
"active",855,1133
"passive",812,963
"active",912,1134
"passive",1125,1415
"passive",809,930
"passive",807,1013
"passive",820,818
"passive",745,804
"passive",747,887
"active",888,1150
"active",730,843
"passive",732,909
"passive",688,983
"active",631,753
"passive",673,892
"active",781,960
"active",906,1045
"active",891,1056
"passive",626,925
"passive",853,1002
"passive",795,1019
"active",855,1042
"passive",813,1128
"passive",722,917
"active",840,1202
"active",743,881
"passive",701,1002
"active",896,1107
"passive",676,947
"active",742,1048
"passive",814,1061
"passive",749,924
"active",822,1115
"passive",781,902
"passive",914,1046
"passive",694,781
"passive",771,856
"passive",710,880
"passive",715,851
"passive",880,1082
"passive",901,1223
"passive",869,903
"active",757,939
"active",842,1174
"active",957,981
"passive",677,894
"passive",727,932
"passive",805,933
"passive",1005,1232
"active",1047,1310
