"Rat","Group","Weight0","Weight1","Weight2","Weight3","Weight4"
1,1,57,86,114,139,172
2,1,60,93,123,146,177
3,1,52,77,111,144,185
4,1,49,67,100,129,164
5,1,56,81,104,121,151
6,1,46,70,102,131,153
7,1,51,71,94,110,141
8,1,63,91,112,130,154
9,1,49,67,90,112,140
10,1,57,82,110,139,169
11,2,59,85,121,146,181
12,2,54,71,90,110,138
13,2,56,75,108,151,189
14,2,59,85,116,148,177
15,2,57,72,97,120,144
16,2,52,73,97,116,140
17,2,52,70,105,138,171
18,3,61,86,109,120,129
19,3,59,80,101,111,122
20,3,53,79,100,106,133
21,3,59,88,100,111,122
22,3,51,75,101,123,140
23,3,51,75,92,100,119
24,3,56,78,95,103,108
25,3,58,69,93,116,140
26,3,46,61,78,90,107
27,3,53,72,89,104,122
